,Title,Authors,Pages,Publisher,Format,Price,Source,IsEbook,PriceValue
153,Erlang and Elixir for Imperative Programmers,Wolfgang Loder,260,Apress,BOOK,46.49 CAD,https://play.google.com/store/books/details?id=_SigDQAAQBAJ&rdid=book-_SigDQAAQBAJ&rdot=1&source=gbs_api,True,46.49
156,Practical Object-Oriented Design,Sandi Metz,701,Addison-Wesley Professional,BOOK,47.39 CAD,https://play.google.com/store/books/details?id=TOxiDwAAQBAJ&rdid=book-TOxiDwAAQBAJ&rdot=1&source=gbs_api,True,47.39
163,Practical Object-Oriented Design,Sandi Metz,701,Addison-Wesley Professional,BOOK,47.39 CAD,https://play.google.com/store/books/details?id=TOxiDwAAQBAJ&rdid=book-TOxiDwAAQBAJ&rdot=1&source=gbs_api,True,47.39
181,The Art of Unit Testing,Roy Osherove,479,Simon and Schuster,BOOK,41.99 CAD,https://play.google.com/store/books/details?id=tTkzEAAAQBAJ&rdid=book-tTkzEAAAQBAJ&rdot=1&source=gbs_api,True,41.99
189,Creative Projects for Rust Programmers,Carlo Milanesi,396,Packt Publishing Ltd,BOOK,39.49 CAD,https://play.google.com/store/books/details?id=uqTsDwAAQBAJ&rdid=book-uqTsDwAAQBAJ&rdot=1&source=gbs_api,True,39.49
196,Vehicle Propulsion Systems,"Lino Guzzella, Antonio Sciarretta",345,Springer Science & Business Media,BOOK,136.83 CAD,https://play.google.com/store/books/details?id=y3xN7jZTesUC&rdid=book-y3xN7jZTesUC&rdot=1&source=gbs_api,True,136.83
203,Rapid Development,Steve McConnell,672,Microsoft Press,BOOK,37.28 CAD,https://play.google.com/store/books/details?id=bp5CAwAAQBAJ&rdid=book-bp5CAwAAQBAJ&rdot=1&source=gbs_api,True,37.28
207,C Programming Absolute Beginner's Guide,"Greg Perry, Dean Miller",352,Que Publishing,BOOK,28.63 CAD,https://play.google.com/store/books/details?id=Tfk3AAAAQBAJ&rdid=book-Tfk3AAAAQBAJ&rdot=1&source=gbs_api,True,28.63
208,Routledge German Dictionary of Electrical Engineering and Electronics Worterbuch Elektrotechnik and Elektronik Englisch,Prof Dr Peter-Klaus Budig,734,Routledge,BOOK,304 CAD,https://play.google.com/store/books/details?id=iPQCEAAAQBAJ&rdid=book-iPQCEAAAQBAJ&rdot=1&source=gbs_api,True,304.0
212,Head First Programming,"David Griffiths, Paul Barry",440,"""O'Reilly Media, Inc.""",BOOK,67.99 CAD,https://play.google.com/store/books/details?id=_zJS8gCc3pkC&rdid=book-_zJS8gCc3pkC&rdot=1&source=gbs_api,True,67.99
214,Dreaming in Code,Scott Rosenberg,363,Crown,BOOK,12.99 CAD,https://play.google.com/store/books/details?id=dZqcuS2SfDgC&rdid=book-dZqcuS2SfDgC&rdot=1&source=gbs_api,True,12.99
217,Intel Xeon Phi Processor High Performance Programming,"James Jeffers, James Reinders, Avinash Sodani",662,Morgan Kaufmann,BOOK,53.6 CAD,https://play.google.com/store/books/details?id=DDpUCwAAQBAJ&rdid=book-DDpUCwAAQBAJ&rdot=1&source=gbs_api,True,53.6
219,C++ Coding Standards,"Herb Sutter, Andrei Alexandrescu",489,Pearson Education,BOOK,57.99 CAD,https://play.google.com/store/books/details?id=mmjVIC6WolgC&rdid=book-mmjVIC6WolgC&rdot=1&source=gbs_api,True,57.99
221,Get Your Hands Dirty on Clean Architecture,Tom Hombergs,157,Packt Publishing Ltd,BOOK,13.79 CAD,https://play.google.com/store/books/details?id=zyOzDwAAQBAJ&rdid=book-zyOzDwAAQBAJ&rdot=1&source=gbs_api,True,13.79
